arr_teff_coolstar,arr_t0roche_coolstar_Earth,arr_t0roche_coolstar_Earth_lower,arr_t0roche_coolstar_Earth_upper,arr_t0roche_coolstar_SuperEarth,arr_t0roche_coolstar_SuperEarth_lower,arr_t0roche_coolstar_SuperEarth_upper
3.934468937875751180e+03,2.519343894981086578e+03,2.500920139982610635e+03,2.547876843425250627e+03,2.621569361702583592e+03,2.602398040261418828e+03,2.651260069505228785e+03
3.940280561122244762e+03,2.526022869969991916e+03,2.507643269519135174e+03,2.554486340852783997e+03,2.628519344288674347e+03,2.609393969020022723e+03,2.658137755392730014e+03
3.946092184368737435e+03,2.532701779211672147e+03,2.514365521638721020e+03,2.561095636154907879e+03,2.635469258459765570e+03,2.616388984759419145e+03,2.665015230953335049e+03
3.951903807615230562e+03,2.539380580743217251e+03,2.521086860256579257e+03,2.567704694362684677e+03,2.642419060550250833e+03,2.623383049930636389e+03,2.671892459799199514e+03
3.957715430861723689e+03,2.546059232582460481e+03,2.527807249215140018e+03,2.574313480460479241e+03,2.649368706874486179e+03,2.630376126908966398e+03,2.678769405493885188e+03
3.963527054108216362e+03,2.552737692726620935e+03,2.534526652283317162e+03,2.580921959385221726e+03,2.656318153725375396e+03,2.637368177993201243e+03,2.685646031551596934e+03
3.969338677354709489e+03,2.559415919150964783e+03,2.541245033155768851e+03,2.587530096025681814e+03,2.663267357372979404e+03,2.644359165404865507e+03,2.692522301436421458e+03
3.975150300601202616e+03,2.566093869807464216e+03,2.547962355452165411e+03,2.594137855221737482e+03,2.670216274063120636e+03,2.651349051287455495e+03,2.699398178561571967e+03
3.980961923847695289e+03,2.572771502623475499e+03,2.554678582716460824e+03,2.600745201763656041e+03,2.677164860016007424e+03,2.658337797705672529e+03,2.706273626288637843e+03
3.986773547094188416e+03,2.579448775500431566e+03,2.561393678416172861e+03,2.607352100391375188e+03,2.684113071424869759e+03,2.665325366644688074e+03,2.713148607926836576e+03
3.992585170340681543e+03,2.586125646312535082e+03,2.568107605941659585e+03,2.613958515793784954e+03,2.691060864454605507e+03,2.672311720009376131e+03,2.720023086732266620e+03
3.998396793587174216e+03,2.592802072905464684e+03,2.574820328605398117e+03,2.620564412608013754e+03,2.698008195240429814e+03,2.679296819623574265e+03,2.726897025907165244e+03
4.004208416833667343e+03,2.599478013095098049e+03,2.581531809641277050e+03,2.627169755418729437e+03,2.704955019886547689e+03,2.686280627229338734e+03,2.733770388599178204e+03
4.010020040080160470e+03,2.606153424666228602e+03,2.588242012203878403e+03,2.633774508757415788e+03,2.711901294464818875e+03,2.693263104486207340e+03,2.740643137900612146e+03
4.015831663326653143e+03,2.612828265371309044e+03,2.594950899367766397e+03,2.640378637101677214e+03,2.718846975013451356e+03,2.700244212970445915e+03,2.747515236847706547e+03
4.021643286573146270e+03,2.619502492929199434e+03,2.601658434126788961e+03,2.646982104874542529e+03,2.725792017535693958e+03,2.707223914174333913e+03,2.754386648419910216e+03
4.027454909819639397e+03,2.626176065023902083e+03,2.608364579393361964e+03,2.653584876443750090e+03,2.732736377998526677e+03,2.714202169505414076e+03,2.761257335539139149e+03
4.033266533066132070e+03,2.632848939303342377e+03,2.615069297997771173e+03,2.660186916121061586e+03,2.739680012331387388e+03,2.721178940285763929e+03,2.768127261069061660e+03
4.039078156312625197e+03,2.639521073378126857e+03,2.621772552687468760e+03,2.666788188161570815e+03,2.746622876424880815e+03,2.728154187751267727e+03,2.774996387814378068e+03
4.044889779559118324e+03,2.646192424820322231e+03,2.628474306126374358e+03,2.673388656762994287e+03,2.753564926129508876e+03,2.735127873050888411e+03,2.781864678520082180e+03
4.050701402805610996e+03,2.652862951162237550e+03,2.635174520894168381e+03,2.679988286064995918e+03,2.760506117254401488e+03,2.742099957245932274e+03,2.788732095870760531e+03
4.056513026052104124e+03,2.659532609895220958e+03,2.641873159485612177e+03,2.686587040148486267e+03,2.767446405566066460e+03,2.749070401309337285e+03,2.795598602489866153e+03
4.062324649298597251e+03,2.666201358468451872e+03,2.648570184309824072e+03,2.693184883034943596e+03,2.774385746787131211e+03,2.756039166124927760e+03,2.802464160939000976e+03
4.068136272545089923e+03,2.672869154287747278e+03,2.655265557689608158e+03,2.699781778685714471e+03,2.781324096595101764e+03,2.763006212486707227e+03,2.809328733717200066e+03
4.073947895791583505e+03,2.679535954714382569e+03,2.661959241860739894e+03,2.706377691001343919e+03,2.788261410621134473e+03,2.769971501098123099e+03,2.816192283260229487e+03
4.079759519038076178e+03,2.686201717063890101e+03,2.668651198971282611e+03,2.712972583820876935e+03,2.795197644448787742e+03,2.776934992571350904e+03,2.823054771939858256e+03
4.085571142284568850e+03,2.692866398604901406e+03,2.675341391080884478e+03,2.719566420921184999e+03,2.802132753612815122e+03,2.783896647426559412e+03,2.829916162063160755e+03
4.091382765531062432e+03,2.699529956557972582e+03,2.682029780160089103e+03,2.726159166016278959e+03,2.809066693597944322e+03,2.790856426091202138e+03,2.836776415871799145e+03
4.097194388777555105e+03,2.706192348094407862e+03,2.688716328089630679e+03,2.732750782756625085e+03,2.815999419837653477e+03,2.797814288899278836e+03,2.843635495541311684e+03
4.103006012024047777e+03,2.712853530335116375e+03,2.695400996659753218e+03,2.739341234728475229e+03,2.822930887712978802e+03,2.804770196090623358e+03,2.850493363180420602e+03
4.108817635270541359e+03,2.719513460349456182e+03,2.702083747569502975e+03,2.745930485453178790e+03,2.829861052551315424e+03,2.811724107810175610e+03,2.857349980830306777e+03
4.114629258517034032e+03,2.726172095154064664e+03,2.708764542426032222e+03,2.752518498386496958e+03,2.836789869625198662e+03,2.818675984107249405e+03,2.864205310463903515e+03
4.120440881763526704e+03,2.732829391711743028e+03,2.715443342743907579e+03,2.759105236917939692e+03,2.843717294151142596e+03,2.825625784934819421e+03,2.871059313985207609e+03
4.126252505010020286e+03,2.739485306930303068e+03,2.722120109944416527e+03,2.765690664370074956e+03,2.850643281288439084e+03,2.832573470148792694e+03,2.877911953228554012e+03
